Model,MAE
LASSO,17.24486838351211
linear,20.184997665413107
ridge,18.598224592334375
svm_poly2,12.347029970704938
svm_poly3,12.407893630123702
svm_poly4,12.441983573610624
svm_rbf,12.389674614569861
tree,16.84457692307693
