Model,MAE
LASSO,0.7026619931792347
linear,0.5864875659248774
ridge,0.5861090645775293
svm_poly2,0.5654907693054319
svm_poly3,0.5533533529419818
svm_poly4,0.5457337033660729
svm_rbf,0.550672127320507
tree,0.4787692307692308
