eight,five,four,nine,one,seven,six,three,two,zero,
164,7,8,9,1,5,7,7,9,3,eight
10,185,7,8,3,6,8,11,2,10,five
9,6,191,20,1,3,6,3,7,1,four
7,7,14,189,4,7,0,7,4,4,nine
3,0,1,2,251,8,1,3,2,1,one
5,2,3,8,2,217,1,2,9,0,seven
6,6,5,3,1,1,212,4,5,6,six
12,19,4,4,1,1,7,191,17,4,three
3,5,2,1,4,10,8,6,203,7,two
6,5,3,5,0,3,10,5,2,222,zero
