eight,five,four,nine,one,seven,six,three,two,zero,
251,7,1,8,0,0,2,2,3,0,eight
2,231,0,2,1,1,1,1,0,3,five
1,0,242,7,0,0,2,0,3,0,four
1,1,3,232,0,5,0,4,1,1,nine
1,2,1,0,238,0,0,0,2,0,one
0,0,1,5,0,252,0,0,1,0,seven
0,2,1,0,1,0,225,0,0,2,six
5,8,0,3,0,2,0,245,6,0,three
4,0,2,1,0,1,3,0,236,0,two
2,0,1,0,0,0,1,0,0,227,zero
