epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,364800.125,446.91168212890625,195704.90625,331.9469299316406
1,183339.28125,299.2918395996094,167734.609375,300.9474792480469
2,161442.578125,280.1002197265625,157094.953125,290.5072326660156
3,153102.96875,271.4026794433594,139874.03125,277.1224060058594
4,146910.65625,265.66796875,130890.7578125,259.732421875
5,139198.71875,258.4234313964844,131000.375,261.4250183105469
6,136914.6875,256.42059326171875,130135.609375,255.03286743164062
7,134261.28125,254.30905151367188,124010.6328125,248.05374145507812
8,131163.40625,250.9348907470703,121260.625,248.67596435546875
9,127369.1640625,247.70162963867188,118895.546875,241.9900360107422
10,126225.203125,244.93203735351562,119505.875,247.0001220703125
11,125730.921875,246.12548828125,118281.4140625,244.02748107910156
12,123798.671875,243.3603057861328,124301.1171875,247.16091918945312
13,123691.7109375,242.35275268554688,116552.3125,237.47068786621094
14,120410.859375,239.67697143554688,118869.015625,252.3511505126953
15,119543.0546875,239.10287475585938,113805.46875,234.72293090820312
16,117083.171875,237.2920379638672,117480.90625,247.6721954345703
17,116243.21875,235.5887908935547,114558.1484375,238.53346252441406
18,114785.6796875,232.8250732421875,116300.875,243.04913330078125
19,116334.9609375,234.88121032714844,114136.6953125,243.857177734375
20,115014.140625,235.2325439453125,106439.296875,230.3995361328125
21,109357.890625,228.5779266357422,110938.1796875,236.6664581298828
22,109713.7109375,228.94833374023438,105069.546875,229.24554443359375
23,107191.3515625,226.88165283203125,104483.28125,224.23715209960938
24,108175.8203125,225.97811889648438,107973.53125,227.78738403320312
25,107601.203125,225.20391845703125,104295.8515625,233.53250122070312
26,104564.8203125,222.767333984375,102608.703125,221.96926879882812
27,101881.140625,218.92898559570312,98475.046875,221.87701416015625
28,100489.421875,217.693115234375,102275.7265625,223.66632080078125
29,101890.1171875,219.3363037109375,94413.9609375,216.3492889404297
30,98607.234375,215.01747131347656,98969.0078125,221.91355895996094
31,97950.53125,213.63998413085938,103207.203125,219.20701599121094
32,97602.4453125,214.3292694091797,94654.140625,213.8660125732422
33,96001.96875,211.95211791992188,92398.09375,212.62315368652344
34,95281.9609375,210.36965942382812,97347.8046875,222.52308654785156
35,95099.859375,211.05166625976562,92279.96875,214.14097595214844
36,93001.140625,208.63226318359375,90396.03125,211.08969116210938
37,91555.9296875,205.49855041503906,90988.1875,205.58309936523438
38,91945.390625,206.60850524902344,88914.203125,205.68606567382812
39,89253.09375,202.45086669921875,88431.734375,207.2456512451172
40,88683.1640625,201.84109497070312,88010.484375,206.7665557861328
41,89064.6875,203.049560546875,85512.3125,205.93785095214844
42,86762.6484375,199.95095825195312,85420.4453125,201.6322021484375
43,87115.65625,199.7721710205078,84755.59375,201.71365356445312
44,85460.6953125,198.1260223388672,83304.1953125,200.16415405273438
45,85182.8671875,198.22584533691406,85586.75,204.35418701171875
46,83296.3515625,196.0731658935547,88098.8046875,209.01011657714844
47,85383.25,198.0995330810547,83039.78125,200.10214233398438
48,82557.9140625,194.21006774902344,82994.6015625,199.76011657714844
49,82300.484375,193.90231323242188,83270.1171875,199.90733337402344
50,83379.1015625,196.3063201904297,83533.6875,198.15814208984375
51,81460.9375,193.05531311035156,82738.28125,199.39407348632812
52,80820.015625,192.05902099609375,79397.546875,194.0840301513672
53,80611.3046875,192.68592834472656,82464.3125,198.86985778808594
54,81097.6953125,192.4008026123047,83237.28125,197.89439392089844
55,79763.9609375,190.7758026123047,78782.6484375,192.0142364501953
