epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,793786.8125,637.2474975585938,706700.5,584.6875610351562
1,583336.625,528.5009155273438,553073.5625,525.7246704101562
2,474339.96875,487.8772277832031,455251.71875,466.43524169921875
3,392374.375,428.78466796875,390431.875,433.5641784667969
4,338582.875,396.1273193359375,334073.625,393.20867919921875
5,290158.5,362.2479248046875,290820.9375,363.5838317871094
6,255231.25,338.7738037109375,260537.25,345.9360656738281
7,231754.921875,324.9432373046875,239834.5625,334.03546142578125
8,215950.5,315.76171875,226972.453125,320.5389404296875
9,205212.296875,310.23223876953125,215304.546875,317.5069274902344
10,197519.65625,306.003173828125,208175.4375,316.63079833984375
11,192710.6875,304.3773498535156,203245.953125,311.2861328125
12,188316.453125,300.6897888183594,199313.09375,314.7061462402344
13,184531.84375,299.22802734375,195365.375,302.10638427734375
14,180340.9375,295.1365051269531,190399.625,303.6204833984375
15,176613.671875,292.4576416015625,187294.78125,297.3629150390625
16,173196.78125,289.8278503417969,184995.765625,292.5661926269531
17,169835.109375,286.1745910644531,180346.5,290.85540771484375
18,166803.421875,284.3794860839844,177062.234375,288.7081298828125
19,164022.3125,281.554931640625,173904.421875,289.971923828125
20,161301.859375,279.67156982421875,172073.921875,291.48138427734375
21,159274.421875,278.2841796875,169306.75,287.9058532714844
22,157310.21875,276.4743957519531,166844.421875,284.4394836425781
23,155401.609375,275.37969970703125,165165.375,280.8392333984375
24,153836.234375,272.9989013671875,163036.671875,280.6177062988281
25,151966.015625,271.8648681640625,161530.171875,277.03131103515625
26,150281.515625,270.42333984375,159845.09375,276.4413757324219
27,148573.375,268.6033020019531,158365.4375,274.6517333984375
28,146972.34375,266.937744140625,156928.421875,277.39044189453125
29,145794.5625,265.6658630371094,155599.765625,271.8835754394531
30,144485.703125,264.8876647949219,154588.1875,270.88031005859375
31,143558.953125,264.0998840332031,153164.765625,270.9696960449219
32,142066.078125,262.63140869140625,152235.359375,270.8660888671875
33,141191.546875,261.94659423828125,151976.609375,276.0057373046875
34,140174.65625,261.4523010253906,151369.203125,265.2769775390625
35,139636.953125,260.0785827636719,150062.984375,265.00958251953125
36,138359.03125,258.4348449707031,149436.53125,273.1242370605469
37,137715.5,258.125244140625,147808.484375,269.67431640625
38,137111.328125,257.97369384765625,146901.609375,266.1867980957031
39,136754.859375,257.59716796875,147902.140625,261.5865478515625
40,135470.25,256.0926818847656,145672.34375,265.43475341796875
41,135085.71875,256.012939453125,144943.765625,262.45355224609375
42,134317.859375,255.28033447265625,144309.5,262.2125244140625
