epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,10348.68359375,60.0534782409668,11313.6630859375,60.24448013305664
1,9690.599609375,56.59587097167969,10617.197265625,58.50101852416992
2,9348.583984375,54.57036590576172,10555.4189453125,55.48874282836914
3,9319.58984375,54.7667236328125,10497.1943359375,67.85823059082031
4,9226.8154296875,54.12462615966797,10293.1552734375,64.29009246826172
5,9120.3935546875,53.89920425415039,10160.17578125,54.87223434448242
6,9008.275390625,53.28334045410156,9905.1806640625,56.393882751464844
7,8947.947265625,52.93040084838867,9911.26953125,52.30463790893555
8,8839.4765625,52.59748077392578,9928.5419921875,49.982818603515625
9,8752.369140625,52.26767349243164,9958.64453125,49.28338623046875
10,8645.185546875,51.542388916015625,10063.3359375,49.463008880615234
11,8730.046875,51.96870422363281,9541.525390625,55.04796600341797
12,8655.015625,51.351402282714844,9745.9462890625,63.46412658691406
13,8528.84765625,50.82994079589844,9575.1064453125,52.09245300292969
14,8643.2880859375,51.97482681274414,10255.9345703125,48.10056686401367
15,8494.5185546875,50.59567642211914,9600.4912109375,53.528900146484375
16,8561.4775390625,51.14067840576172,9633.6005859375,55.18561553955078
17,8457.5263671875,50.517669677734375,9689.287109375,63.529624938964844
18,8496.0185546875,50.904781341552734,9526.4013671875,52.87548065185547
19,8433.51171875,50.6282844543457,9817.212890625,52.8082160949707
20,8390.7724609375,50.07780456542969,9928.744140625,48.70426559448242
21,8424.33203125,50.12178039550781,9487.703125,52.394710540771484
22,8374.9384765625,49.930076599121094,9364.4130859375,54.18973922729492
23,8456.884765625,50.689208984375,9619.361328125,55.69681930541992
24,8412.103515625,50.20161437988281,9403.5146484375,49.99464416503906
25,8362.1103515625,49.739200592041016,9567.8486328125,52.6663818359375
26,8308.458984375,49.81132125854492,9554.3251953125,49.65230178833008
27,8360.7470703125,49.72101593017578,9384.798828125,50.84612274169922
28,8338.7490234375,49.87138748168945,9461.2763671875,49.96621322631836
29,8308.88671875,49.3660888671875,9471.0068359375,52.70060348510742
30,8346.421875,49.82102584838867,9632.291015625,57.41298294067383
31,8276.814453125,49.33845901489258,9422.23828125,51.204444885253906
32,8340.080078125,49.60771179199219,9286.876953125,50.633750915527344
33,8264.87890625,49.49202346801758,9970.958984375,61.24681091308594
34,8376.9306640625,49.9190673828125,9776.4482421875,51.16663360595703
35,8320.4287109375,49.80995559692383,9410.01171875,51.26713562011719
36,8262.7529296875,49.77885818481445,9523.83203125,49.22197341918945
37,8199.6591796875,49.0858154296875,9357.09375,58.884666442871094
38,8261.6572265625,49.388702392578125,9426.369140625,58.33662796020508
39,8338.4013671875,49.9630012512207,9600.2470703125,56.57362747192383
40,8207.7529296875,49.184513092041016,9653.0478515625,47.81729507446289
41,8285.8896484375,49.48373031616211,9390.0927734375,50.08772277832031
42,8294.4111328125,49.792362213134766,9666.771484375,57.79414749145508
43,8270.1572265625,49.467350006103516,9508.24609375,48.3306884765625
44,8220.5498046875,49.503868103027344,9820.7666015625,52.26956558227539
